I1(Lex) S(gr)	I1(Lex)S(sba)	I1(Grevlex) S(gr)	I1(Grevlex)S(sba)	I2(Lex) S(gr)	I2(Lex)S(sba)	I2(Grevlex) S(gr)	I2(Grevlex)S(sba)	I3(Grevlex) S(gr)	I3(Grevlex)S(sba)
1408	61	509	150	1299	90	405	88	519	223
1398	62	513	152	1277	90	412	89	513	219
1398	63	517	148	1284	89	407	88	513	229
1409	64	522	149	1281	90	409	89	516	224
1395	63	514	147	1275	89	407	89	519	222
1400	63	517	149	1266	89	440	89	530	220
1416	63	513	150	1285	89	408	88	521	218
1402	62	516	148	1266	89	407	88	519	220
1431	64	517	147	1273	89	408	88	525	223
1405	63	516	148	1272	90	407	87	515	220
1408	63	512	150	1263	90	405	88	515	220
1405	64	509	146	1275	89	408	90	512	219
1405	63	514	144	1260	89	415	89	511	222
1426	62	526	150	1274	90	408	89	515	222
1401	62	517	147	1290	90	408	89	514	227
1416	63	517	147	1254	91	410	88	512	220
1405	62	516	145	1272	90	409	88	512	218
1398	63	515	145	1280	88	409	87	514	221
1420	63	513	148	1265	88	410	88	518	217
1403	63	521	146	1277	89	428	89	519	219
1425	62	513	147	1272	90	406	89	518	219
1397	62	511	145	1263	90	408	90	518	222
1400	63	510	148	1291	91	408	89	523	220
1414	63	511	147	1281	89	410	90	520	221
1406	63	520	147	1286	90	416	88	534	221
1400	63	512	145	1260	88	413	121	518	219
1400	62	508	147	1262	89	410	89	518	221
1403	63	509	146	1269	90	410	90	515	218
1432	62	512	149	1277	89	412	88	521	217
1402	61	512	153	1270	90	409	88	520	218
1429	62	519	146	1274	89	408	89	517	220
1404	63	513	148	1270	89	408	89	515	219
1402	63	509	146	1273	89	421	89	516	218
1427	62	513	146	1282	90	410	89	514	220
1409	61	513	155	1256	89	409	88	522	220
1394	65	572	144	1282	90	410	88	523	219
1400	62	505	148	1292	90	409	88	519	220
1404	63	507	145	1273	89	406	88	521	218
1450	63	507	146	1283	90	409	89	522	221
1400	63	508	146	1274	90	414	89	525	218
1400	62	518	147	1271	89	411	90	520	216
1414	62	511	146	1272	91	410	89	517	217
1421	63	514	146	1278	90	410	90	518	214
1406	63	511	144	1272	90	417	89	530	219
1400	62	512	148	1281	89	439	88	518	218
1406	63	524	145	1266	89	412	102	518	219
1430	63	509	146	1278	88	408	87	521	216
1411	62	508	145	1284	89	410	88	530	220
1407	62	515	148	1277	89	410	88	528	217
1406	61	510	148	1259	91	411	89	523	215
1402	62	514	148	1272	89	410	89	523	219
1407	63	511	145	1268	90	409	89	522	218
1421	62	511	145	1282	89	410	88	524	220
1419	63	511	150	1269	88	413	88	537	219
1404	63	507	147	1275	89	412	88	518	219
1400	62	511	149	1269	89	410	89	518	223
1426	63	511	147	1272	90	411	88	520	220
1401	62	511	150	1259	90	412	90	515	218
1409	62	512	146	1290	89	412	91	516	218
1404	64	510	147	1257	90	426	89	515	226
1399	63	510	146	1276	90	411	89	516	218
1433	62	545	148	1259	90	411	89	514	220
1400	63	511	145	1276	91	413	87	514	235
1418	62	513	148	1288	90	411	87	512	219
1407	61	512	148	1274	90	411	88	513	223
