Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"f5/Cyclic 4/Q,Grevlex",2.854393897409629e-3,2.8102460332033404e-3,2.941647620533644e-3,1.9591823548953494e-4,1.1093167032824252e-4,3.428039794040347e-4
Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"buchberger/Cyclic 4/Q,Grevlex",2.967898986022456e-3,2.8052020693084666e-3,3.572273428443556e-3,9.913892285408398e-4,1.499962332617926e-4,2.0832759976366863e-3
